"","egoID","from.alter","alt.alt.tie","egoalt_relation","egoalt_relate_othr","alter.initial","to.alter"
"4386",1920,"192001",NA,"1","","e.o","192006"
"4387",1921,"192101",0,"6","","kd","192106"
"4388",1924,"192401",10,"1","","mg","192406"
"4389",1926,"192601",NA,"1","","emb","192606"
"4390",1928,"192801",2,"1","","pb","192806"
"4391",1930,"193001",10,"1","","mom","193006"
"4392",1937,"193701",NA,"1","","lg","193706"
"4393",1938,"193801",NA,"1","parentfig","jp","193806"
"4394",1939,"193901",7,"5","","amg","193906"
"4395",1941,"194101",NA,"1","","mh","194106"
"4396",1942,"194201",NA,"4","relatives","pp","194206"
"4397",1943,"194301",10,"1","","lm","194306"
"4398",1952,"195201",8,"1","","ah","195206"
"4399",1954,"195401",NA,"1","","rd","195406"
"4400",1956,"195601",NA,"1","","rd","195606"
"4401",1958,"195801",NA,"1","","an","195806"
"4402",1961,"196101",0,"1","","jr","196106"
"4403",1963,"196301",6,"6","","kn","196306"
"4404",1965,"196501",NA,"5","","lm","196506"
"4405",1967,"196701",NA,"1","","tg","196706"
"4406",1969,"196901",0,"3","","lb","196906"
"4407",1970,"197001",NA,"3","","ba","197006"
"4408",1971,"197101",10,"6","","t","197106"
"4409",1975,"197501",0,"1","","ap","197506"
"4410",1976,"197601",NA,"1","","kg","197606"
"4411",1978,"197801",NA,"1","","da","197806"
"4412",1979,"197901",8,"1","","cf","197906"
"4413",1980,"198001",NA,"1","","stb","198006"
"4414",1983,"198301",NA,"1","","sb","198306"
"4415",1984,"198401",NA,"1","","dg","198406"
"4416",1985,"198501",NA,"1","","mr","198506"
"4417",1986,"198601",10,"6","","bs","198606"
"4418",1987,"198701",NA,"1","","vk","198706"
"4419",1989,"198901",4,"1","","kr","198906"
"4420",1990,"199001",NA,"11","work","ex boss ","199006"
"4421",1991,"199101",10,"1","","ja","199106"
"4422",1993,"199301",NA,"3","","al","199306"
"4423",1996,"199601",NA,"1","","ap","199606"
"4424",1997,"199701",NA,"6","","ma","199706"
"4425",1999,"199901",NA,"1","","jc","199906"
"4426",2000,"200001",10,"1","","m","200006"
"4427",2001,"200101",0,"4","","jh","200106"
"4428",2002,"200201",NA,"1","","am","200206"
"4429",2003,"200301",NA,"4","","hl","200306"
"4430",2005,"200501",NA,"7","","j.o","200506"
"4431",2008,"200801",NA,"1","","father ","200806"
"4432",2009,"200901",NA,"1","","iy","200906"
"4433",2010,"201001",NA,"1","","mom","201006"
"4434",2011,"201101",NA,"1","","jb","201106"
"4435",2013,"201301",NA,"1","","ak","201306"
"4436",2014,"201401",NA,"1","","ln","201406"
"4437",2015,"201501",NA,"1","","ar","201506"
"4438",2016,"201601",0,"1","","dg","201606"
"4439",2017,"201701",NA,"1","","rwm","201706"
"4440",2019,"201901",0,"10","othr_adults","cs","201906"
"4441",2021,"202101",NA,"1","","ds","202106"
"4442",2022,"202201",0,"5","","zg","202206"
"4443",2023,"202301",10,"1","","js","202306"
"4444",2024,"202401",NA,"8","academic","ca","202406"
"4445",2026,"202601",NA,"1","","ld","202606"
"4446",2028,"202801",4,"1","","yb","202806"
